a,thing,8927267
a,la,5782904
s,the,4601613
a,by,3443923
s,in,3416118
a,sea,3316419
n,is,3198935
a,king,3148269
g,of,2856903
p,is,2850622
m,in,2552886
a,in,2438195
y,la,2196026
s,no,2136695
r,is,2059317
d,be,1976511
x,is,1957390
t,is,1916935
i,in,1911810
s,of,1853482
i,is,1739206
m,is,1707696
a,no,1671661
i,the,1665284
a,of,1655294
t,the,1654388
a,re,1644526
f,the,1635305
a,is,1623034
a,go,1617870
m,the,1617210
a,ring,1610172
a,so,1594949
n,in,1497218
n,the,1489252
e,la,1467824
a,the,1385403
o,co,1383646
t,in,1322069
s,or,1292401
o,in,1273603
s,on,1272761
l,am,1250389
h,is,1235040
a,co,1231632
s,is,1220938
k,is,1205899
a,to,1174670
c,is,1161174
l,do,1150331
d,in,1127280
s,to,1116845
y,is,1071584
e,is,1065916
s,as,1017330
i,of,1011568
b,is,1001208
a,tv,998002
v,is,961239
e,in,923099
d,is,921139
s,an,907120
e,of,876396
s,so,870885
s,at,848804
r,the,847263
o,the,845428
u,is,833357
i,to,830061
x,in,822667
a,ph,818076
t,of,797848
j,the,777240
a,as,774206
y,en,750178
i,on,746721
m,of,719927
a,do,717146
a,cd,701516
r,in,700376
a,wing,689563
s,my,681023
h,of,670570
h,at,661859
z,is,649113
h,in,638292
r,of,628093
c,in,621176
p,in,618285
v,the,618030
t,he,611378
y,in,607694
g,is,598093
e,the,595753
n,of,595652
f,is,579792
b,in,571898
q,is,569495
s,go,563281
e,as,563167
f,in,562416
a,pc,557796
l,the,550243
m,on,548576
j,in,538657
m,to,536922
c,the,535670
i,as,531301
u,in,527642
l,in,527527
y,the,519289
o,is,518437
g,in,517345
i,ii,509384
v,in,497589
d,the,496977
y,no,494204
n,to,494093
a,be,489994
b,the,489154
f,or,483812
m,at,483708
a,on,481745
o,to,480733
a,at,473091
w,is,463811
l,is,450729
l,of,441055
a,tea,440615
t,as,436594
y,of,431932
p,of,431022
s,by,430373
d,by,428659
p,the,427559
d,to,425882
a,or,425113
t,to,424253
a,foe,423879
w,as,422385
m,so,409948
t,be,408829
j,is,403606
k,in,395545
i,at,389945
v,of,388674
d,of,381566
i,or,375994
a,mi,371950
m,or,364944
n,as,359863
c,to,359703
a,lo,350009
j,of,349101
l,to,340345
s,it,339411
n,on,337990
s,up,337901
o,en,337719
i,by,337573
t,on,332422
u,the,330821
a,pea,328997
x,as,326400
