it,1681680844,5602,1
do,165626806,4211,1
wu,582418,425,1
ox,1380389,594,1
we,531474058,4824,1
sea,37416221,1565,1
or,1209157097,6238,1
by,1118448108,5800,1
me,481585923,3187,1
if,387614458,4600,1
us,235551606,2451,1
is,2920612623,6291,1
so,413152170,4934,1
my,288522712,4321,1
up,638801664,4200,1
be,1831436809,4400,1
tea,9916940,1068,1
foe,757167,370,1
ear,7453507,884,1
go,57027633,2870,1
yea,1347967,661,1
woe,626721,322,1
dr,29079337,2692,1
eat,4952062,1050,1
king,24880550,2229,1
oh,5474293,1422,1
am,10507387,1888,1
in,4519110282,6379,1
toe,2086101,597,1
ex,9765413,1761,1
as,2673739760,6090,1
ct,1884378,916,1
to,6789639681,6329,1
id,3732515,1146,1
ring,10165491,1538,1
wing,12620000,1003,1
la,13828122,2553,1
the,10753715025,6337,1
pea,679810,458,1
no,480308389,4570,1
on,1501609793,6094,1
mr,102233816,3607,1
mu,434149,426,1
an,772197915,5374,1
he,949418395,5346,1
thy,18851497,1739,1
ping,584597,380,1
sing,2632283,1078,1
thing,96844173,1798,1
of,10994507833,6311,1
at,1102357144,5995,1
