"aah",33777,0,"ᚪᚪᚻ",217
"abs",400357,0,"ᚪᛒᛋ",211
"ace",770068,1,"ᚪᚳᛖ",177
"acing",15880,1,"ᚪᚳᛝ",189
"act",134195706,1,"ᚪᚳᛏ",169
"add",55380074,1,"ᚪᛞᛞ",275
"adj",1211720,0,"ᚪᛞᛂ",223
"ado",817567,1,"ᚪᛞᚩ",193
"ads",1938102,0,"ᚪᛞᛋ",239
"adv",411855,0,"ᚪᛞᚢ",189
"adz",40126,0,"ᚪᛞᛋ",239
"aeon",134910,1,"ᚫᚩᚾ",137
"aery",46518,1,"ᚫᚱᚣ",215
"aft",2270716,1,"ᚪᚠᛏ",158
"age",177956814,1,"ᚪᚷᛖ",181
"aging",8297736,1,"ᚪᚷᛝ",193
"ago",72664054,1,"ᚪᚷᚩ",121
"aha",178722,0,"ᚪᚻᚪ",217
"aid",60424696,1,"ᚪᛁᛞ",217
"ail",1274713,1,"ᚪᛁᛚ",201
"aim",29567646,1,"ᚪᛁᛗ",199
"air",157488870,1,"ᚪᛁᚱ",139
"aka",415973,0,"ᚪᚳᚪ",207
"alb",143424,0,"ᚪᛚᛒ",231
"ale",2465299,1,"ᚪᛚᛖ",237
"all",1861468316,1,"ᚪᛚᛚ",243
"aloe",267029,0,"ᚪᛚᛟ",253
"alp",60954,0,"ᚪᛚᛈ",213
"alt",834786,0,"ᚪᛚᛏ",229
"amp",1220915,0,"ᚪᛗᛈ",211
"amt",71995,0,"ᚪᛗᛏ",227
"and",22042265824,1,"ᚪᚾᛞ",215
"ans",1180230,1,"ᚪᚾᛋ",179
"ant",3241001,1,"ᚪᚾᛏ",185
"any",949067010,1,"ᚪᚾᚣ",229
"ape",1865681,1,"ᚪᛈᛖ",207
"aping",177226,1,"ᚪᛈᛝ",219
"app",669300,1,"ᚪᛈᛈ",183
"apt",6436263,1,"ᚪᛈᛏ",199
"arc",17560930,1,"ᚪᚱᚳ",121
"area",193738680,1,"ᚪᚱᛠ",217
"are",3653779690,1,"ᚪᚱᛖ",175
"aria",956440,1,"ᚪᚱᛡ",215
"ark",1963396,1,"ᚪᚱᚳ",121
"arm",48854722,1,"ᚪᚱᛗ",179
"arr",269128,0,"ᚪᚱᚱ",119
"art",116190724,1,"ᚪᚱᛏ",167
"ash",7025762,1,"ᚪᛋᚻ",173
"ask",41700832,1,"ᚪᛋᚳ",163
"asp",364311,1,"ᚪᛋᛈ",193
"ass",5699451,0,"ᚪᛋᛋ",203
"ate",5919219,1,"ᚪᛏᛖ",223
"auk",72790,0,"ᚪᚢᚳ",113
