"ab",4553032,0,"ᚪᛒ",158
"ac",4981237,0,"ᚪᚳ",110
"ad",24651138,0,"ᚪᛞ",186
"ah",3413354,0,"ᚪᚻ",120
"am",203288406,1,"ᚪᛗ",168
"an",2532381830,1,"ᚪᚾ",126
"as",5252773964,1,"ᚪᛋ",150
"at",3124642630,1,"ᚪᛏ",156
"av",3011881,0,"ᚪᚢ",100
"aw",634374,0,"ᚪᚹ",116
"ax",927237,0,"ᚪᛉ",144
"ay",2216012,0,"ᚪᚣ",200
"be",4785152792,1,"ᛒᛖ",128
"bf",253171,0,"ᛒᚠ",63
"bi",2898685,0,"ᛒᛁ",92
"bio",1242709,0,"ᛒᛡ",168
"bk",585663,0,"ᛒᚳ",74
"bl",550572,0,"ᛒᛚ",134
"bu",1010622,0,"ᛒᚢ",64
"bx",124369,0,"ᛒᛉ",108
"by",4499956986,1,"ᛒᚣ",164
"ca",6284168,0,"ᚳᚪ",110
"cc",4801676,0,"ᚳᚳ",26
"cf",12324136,0,"ᚳᚠ",15
"cg",61399,0,"ᚳᚷ",30
"ch",8982984,0,"ᚳᚻ",36
"ck",268516,0,"ᚳᚳ",26
"cl",1210147,0,"ᚳᛚ",86
"cm",35127098,0,"ᚳᛗ",84
"co",51551784,0,"ᚳᚩ",20
"cs",552902,0,"ᚳᛋ",66
"ct",1768581,0,"ᚳᛏ",72
"cu",1964906,0,"ᚳᚢ",16
"cw",259691,0,"ᚳᚹ",32
"db",4001196,0,"ᛞᛒ",150
"dc",2952256,0,"ᛞᚳ",102
"dd",479352,0,"ᛞᛞ",178
"ding",468163,1,"ᛞᛝ",168
"doe",2272148,1,"ᛞᛟ",172
"do",997459458,1,"ᛞᚩ",96
"dz",243053,0,"ᛞᛋ",142
"ear",13750174,1,"ᛠᚱ",120
"eat",38806106,1,"ᛠᛏ",168
"ed",75956567,0,"ᛖᛞ",156
"eh",2254000,0,"ᛖᚻ",90
"em",5640534,0,"ᛖᛗ",138
"en",59099438,0,"ᛖᚾ",96
"eon",249144,1,"ᛇᚾ",70
"er",8997355,1,"ᛖᚱ",78
"es",11742718,0,"ᛖᛋ",120
"ex",23271604,1,"ᛖᛉ",114
"fa",3043545,0,"ᚠᚪ",99
"ff",15889240,0,"ᚠᚠ",4
"fl",2471986,0,"ᚠᛚ",75
"foe",4842284,1,"ᚠᛟ",85
"fr",1614555,0,"ᚠᚱ",13
"ft",15499231,0,"ᚠᛏ",61
"gm",2872626,0,"ᚷᛗ",88
"go",303838612,1,"ᚷᚩ",24
"gr",1809330,0,"ᚷᚱ",28
"gs",264131,0,"ᚷᛋ",70
"gt",166989,0,"ᚷᛏ",76
"ha",11135430,1,"ᚻᚪ",120
"he",1529423270,1,"ᚻᛖ",90
"hf",148527,0,"ᚻᚠ",25
"hi",4891487,1,"ᚻᛁ",54
"hing",103709,0,"ᚻᛝ",102
"hm",211625,1,"ᚻᛗ",94
"ho",5043260,1,"ᚻᚩ",30
"hoe",1280445,1,"ᚻᛟ",106
"hp",1109703,0,"ᚻᛈ",66
"hr",5491035,0,"ᚻᚱ",34
"ht",563407,0,"ᚻᛏ",82
"id",6616448,1,"ᛁᛞ",120
"if",1043633670,1,"ᛁᚠ",33
"ii",57601030,0,"ᛁᛁ",62
"in",15223530569,1,"ᛁᚾ",60
"ion",17507922,0,"ᛡᚾ",136
"is",8279052702,1,"ᛁᛋ",84
"it",4408269006,1,"ᛁᛏ",90
"iv",16954056,0,"ᛁᚢ",34
"ix",6068139,0,"ᛁᛉ",78
"jg",148124,0,"ᛂᚷ",54
"kc",467481,0,"ᚳᚳ",26
"kg",13870058,0,"ᚳᚷ",30
"king",44013387,1,"ᚳᛝ",92
"kl",254654,0,"ᚳᛚ",86
"km",14851335,0,"ᚳᛗ",84
"kn",207878,0,"ᚳᚾ",42
"ks",316110,0,"ᚳᛋ",66
"kt",311891,0,"ᚳᛏ",72
"kw",1591090,0,"ᚳᚹ",32
"la",124028224,0,"ᛚᚪ",170
"lb",4932887,0,"ᛚᛒ",134
"lea",517958,1,"ᛚᛠ",182
"lg",279966,0,"ᛚᚷ",90
"ling",914261,0,"ᛚᛝ",152
"ll",9158701,0,"ᛚᛚ",146
"lo",8606212,1,"ᛚᚩ",80
"ls",1573375,0,"ᛚᛋ",126
"ma",6489558,0,"ᛗᚪ",168
"me",802386460,1,"ᛗᛖ",138
"mg",24259525,0,"ᛗᚷ",88
"mi",7163050,0,"ᛗᛁ",102
"ml",19838671,0,"ᛗᛚ",144
"mm",36512384,0,"ᛗᛗ",142
"mo",3271411,0,"ᛗᚩ",78
"mp",374406,0,"ᛗᛈ",114
"ms",3937926,0,"ᛗᛋ",124
"mt",641728,0,"ᛗᛏ",130
"mu",1135065,1,"ᛗᚢ",74
