roth,1221953,1080,1
far,52842813,7557,1
cps,306936,408,1
dew,2577302,1055,1
hue,1901599,1049,1
nun,624279,815,1
mrs,63015167,8437,1
pal,507665,991,1
hee,761684,750,1
sol,976835,1160,1
hub,948018,1042,1
spa,1278612,790,1
fir,4409028,1277,1
rec,464515,640,1
team,21065752,4250,1
toy,2609943,1832,1
heal,786474,769,1
key,33356360,4396,1
lying,13955000,5180,1
cut,33812031,8160,1
awe,907423,825,1
too,175570468,12773,1
imp,414020,572,1
doing,18480802,5580,1
cue,819538,905,1
art,45634988,6857,1
kay,1525602,1688,1
sam,6466498,4170,1
sad,7546423,2631,1
ala,4333004,1303,1
oil,68302339,6437,1
ease,3283522,2170,1
she,596952170,12652,1
dead,26807504,6205,1
riot,1314872,1103,1
fly,10261054,3425,1
heap,1268249,1205,1
val,807863,1049,1
aim,4286426,1648,1
beth,2150220,1751,1
kin,1575735,1213,1
idea,19014568,3713,1
way,96859239,8997,1
peas,2430565,1034,1
mer,462485,625,1
tab,2699313,1050,1
ink,3820108,1797,1
yang,959128,931,1
siam,656123,550,1
rib,1604951,1123,1
death,45509528,6206,1
not,1266487325,19327,1
mos,310235,442,1
sip,834249,602,1
dial,2669005,1355,1
vol,35921531,2969,1
lim,203493,556,1
ire,776435,970,1
als,370445,912,1
shi,954862,378,1
dev,436583,581,1
ego,1950387,1415,1
red,108102961,8936,1
mid,12801839,3046,1
hen,1821865,1790,1
lin,566776,1185,1
meg,605517,903,1
amy,1837560,2315,1
gap,7473873,2171,1
lab,3441574,1816,1
both,237374242,16846,1
mod,346478,599,1
its,623123861,16328,1
buy,8235757,3497,1
fox,8694799,3350,1
ned,1143655,1489,1
che,425362,1008,1
zip,1220912,536,1
but,975300222,23113,1
now,214922624,16091,1
toes,1251267,1090,1
wings,6157842,2918,1
poem,7136229,2136,1
poet,10521176,2977,1
pub,3178832,1715,1
ron,1536904,1971,1
peak,13172655,3185,1
til,316056,754,1
dom,1030362,885,1
wow,195900,350,1
las,14545639,1113,1
leap,982923,1165,1
lam,247208,562,1
bro,388574,554,1
min,4925314,1898,1
rad,164428,333,1
ape,453347,793,1
map,15469752,3002,1
rug,1391338,896,1
low,103488348,7896,1
hot,54556870,5876,1
real,77515624,7730,1
bed,23693008,4946,1
rag,1029402,917,1
oft,1309151,1933,1
dei,529490,526,1
kit,1969320,1809,1
mac,2372579,1929,1
faa,693559,673,1
lot,13802320,3319,1
ark,2489787,1120,1
easy,17644146,4203,1
noel,1266051,1160,1
bat,1510982,1911,1
eating,8790455,3620,1
ein,269294,399,1
swing,2927951,2075,1
feat,577241,463,1
mat,1734791,2004,1
rang,1834983,1722,1
let,37405551,8883,1
jung,617144,752,1
qui,1105440,1330,1
opt,336084,507,1
thus,82713689,11982,1
bye,1084742,989,1
ram,2079593,1681,1
rear,7811247,2778,1
url,460028,414,1
tar,3980412,1550,1
per,204713124,8362,1
err,346360,314,1
ill,23710935,4828,1
sings,881920,1356,1
egg,11482649,2699,1
mil,564063,916,1
gang,2931433,2031,1
urea,1183469,680,1
nor,81612889,14586,1
fer,360146,1175,1
dip,2341270,1629,1
aging,3059072,1914,1
hel,59429,208,1
sung,1462362,1240,1
bot,295590,587,1
bow,5772594,2767,1
lie,14981067,5188,1
sis,332591,590,1
lip,4434606,1999,1
yrs,153869,139,1
seth,1143556,1334,1
max,6856058,3467,1
spy,1830750,1116,1
add,16129386,4942,1
oat,1530542,816,1
off,135954772,12631,1
