as,616361484,14271,1
we,396847521,4938,1
eat,4218862,1702,1
us,43500997,6173,1
an,670650063,5744,1
do,72869339,6304,1
la,20486337,3222,1
am,39361166,4326,1
toe,837059,1057,1
ring,7259617,2486,1
ping,138441,358,1
ox,468207,655,1
id,1561499,1351,1
it,733637151,9333,1
to,4199652695,14783,1
he,915469551,8111,1
mr,393561548,6053,1
my,376221674,9515,1
me,60620733,7231,1
thing,12006996,3448,1
woe,461383,324,1
so,260355156,8515,1
wing,5066306,2285,1
or,1134734809,15516,1
is,1541028722,12295,1
sea,21278994,3573,1
oh,6335878,2491,1
be,1173665590,11139,1
on,667794298,12810,1
in,3354675271,14520,1
if,104104305,8863,1
sing,1617675,1064,1
ex,11381900,1807,1
of,6519988414,16116,1
up,79874542,8759,1
pea,1061394,460,1
by,934288795,13524,1
at,378289572,10719,1
thy,18489524,3247,1
wu,213047,441,1
go,54648470,3521,1
foe,286450,696,1
ct,1866746,986,1
king,28310505,3754,1
no,442865300,10787,1
the,18792321246,16555,1
tea,5515238,1678,1
dr,68824726,3818,1
ear,3472230,1850,1
yea,413944,464,1
mu,140217,330,1
